Country/Other,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Cases/1M pop,Deaths/1M pop,Total Tests,Tests/ 1M pop,Population
Albania,174168,2753,163867,7548,60605,958,1231564,428547,2873810
Andorra,15291,130,15064,97,197502,1679,193595,2500517,77422
Austria,757675,11084,725942,20649,83522,1222,89792069,9898199,9071556
Belarus,553795,4259,529853,19683,58631,451,8775597,929089,9445379
Belgium,1261102,25675,1175391,60036,108216,2203,20397783,1750344,11653587
Bosnia and Herzegovina,240094,10863,192218,37013,73764,3337,1248564,383594,3254913
Bulgaria,518995,21586,447581,49828,75413,3137,4950589,719349,6882037
Croatia,415356,8752,397089,9515,101975,2149,2894887,710728,4073129
Czechia,1699074,30499,1658115,10460,158286,2841,38786725,3613384,10734183
Denmark,362738,2669,353656,6413,62347,459,84172224,14467377,5818071
Estonia,163803,1394,149321,13088,123377,1050,1973258,1486260,1327667
Finland,145679,1096,46000,98583,26241,197,7187505,1294664,5551639
France,7047786,117029,6832490,98267,107671,1788,146046715,2231195,65456721
Germany,4316499,94988,4082100,139411,51311,1129,73348901,871917,84123726
Greece,673317,15069,629857,28391,65002,1455,21676735,2092666,10358430
Hungary,827410,30275,788014,9121,85927,3144,7032329,730311,9629222
Iceland,12147,33,11674,440,35306,96,1081025,3142049,344051
Ireland,399833,5280,355677,38876,79844,1054,7616896,1521046,5007671
Italy,4695291,131228,4478137,85926,77802,2174,94716158,1569473,60349011
Latvia,168248,2787,150024,15437,90470,1499,4519305,2430106,1859715
Liechtenstein,3457,60,3379,18,90339,1568,49126,1283769,38267
Lithuania,350029,5209,316531,28289,130899,1948,5154968,1927783,2674040
Luxembourg,79018,836,76920,1262,123684,1309,3539227,5539815,638871
Malta,37307,459,36170,678,84208,1036,1211456,2734448,443035
Moldova,304678,6979,286951,10748,75752,1735,1849900,459938,4022065
Monaco,3331,33,3270,28,84127,833,54960,1388054,39595
Montenegro,134602,1980,127013,5609,214277,3152,757534,1205944,628167
Netherlands,2018932,18202,1943383,57347,117496,1059,17496108,1018224,17182963
North Macedonia,194231,6799,176807,10625,93234,3264,1314953,631198,2083265
Norway,193054,871,88952,103231,35261,159,7938975,1450047,5474976
Poland,2918863,75834,2666589,176440,77231,2007,21204795,561062,37794015
Portugal,1074109,18027,1026028,30054,105730,1774,18919326,1862326,10158977
Romania,1332221,38927,1164547,128747,69842,2041,13360819,700444,19074772
Russia,7717356,214485,6819796,683075,52854,1469,195600000,1339599,146013851
San Marino,5444,91,5330,23,160019,2675,79868,2347609,34021
Serbia,994708,8631,857104,128973,114430,993,5819214,669437,8692702
Slovakia,422614,12720,394040,15854,77359,2328,3673833,672494,5462997
Slovenia,300084,4602,283622,11860,144320,2213,1614007,776226,2079301
Spain,4973619,86778,4800693,86148,106324,1855,65473038,1399662,46777754
Sweden,1157822,14864,1121661,21297,113745,1460,12743845,1251961,10179107
Switzerland,848416,11133,790942,46341,97130,1275,11112913,1272249,8734857
UK,8081300,137541,6593525,1350234,118255,2013,311519071,4558491,68338194
Ukraine,2529913,58331,2287846,183736,58293,1344,13217913,304559,43400225
